0,"mobilit채tspreis, angry, law, lawyer, good, innovation, reiner, rheingau, browser, german"
1,"alliance, dpa, booth, verbot, bmdv, briefings, ber, alternative, pressekonferenz, professor"
2,"year, digitale, deutlichen, december, digitalpolitik, saksamaa, videos, aprillil, unternehmens, union"
3,"managing, transfer, new, euro, licensing, anjes, award, morgen, lindners, westf채lische"
4,"dr, umgang, ausgleich, justiz, ommer, palatinate, verkehrsminister, meurer, visit, liberal"
5,"mr, exceptional, bahn, week, ministry, 체bersicht, 10, video, constantin, technologies"
6,"nl, spoorpro, 15, auto, location, hapag, knatterbus, views, vikipeedia, klimaneutral"
7,"wacc, context, christopher, break, bilateral, logistics, liquid, notable, mobilit채t, scelsi"
8,"picture, ki, kappeler, 000th, jpg, 3165, 700, demokraatliku, continent, driving"
9,"fdp, online, weekends, aus, bmj, viva, bundestag, quantron, excellent, schnelle"
